lat,long,site,Province,plate_n,plate_low,plate_partial,plate_complete,Morph,other,habitat,citation_num,citation,,,,notes,
47.781,-68.791,Croche,QC,120,0,0.9,0.1,RP+C,C,lake,3,Edge & Coad (1983). Can. Field-Nat. 97:334-336,,,,,
59.4,-95.3,Caribou R.,,,,,,unk,C,river,4,McKillop & McKillop (1997). Can. Field-Nat. 111:662-663,,,,,
59.867,-100.133,Nueltin L.,,1,,,,unk,C,lake,4,McKillop & McKillop (1997). Can. Field-Nat. 111:662-663,,,,,
60.383,-95.75,Thlewiaza R.,,1,,,,unk,C,river,4,McKillop & McKillop (1997). Can. Field-Nat. 111:662-663,,,,,
49.463,-54.614,Boyd Cove P.,,8,,,,unk,C,lake,5,Garside & Hamor (1973). Can. J. Zool. 51:547-551.,,,,uncertain location,
49.447,-53.951,Doating Cove S.,,18,,,,unk,C,stream,5,Garside & Hamor (1973). Can. J. Zool. 51:547-551.,,,,uncertain location,"""Doting"""
49.0718,-54.546,Joniton's Brook,,8,,,,unk,C,stream,5,Garside & Hamor (1973). Can. J. Zool. 51:547-551.,,,,uncertain location,"""Jonathan's"""
48.857,-55.523,Great Rattling Brook,,2,,,,unk,C,river,5,Garside & Hamor (1973). Can. J. Zool. 51:547-551.,,,,,
,,Rocky River,,23,,,,unk,C,river,5,Garside & Hamor (1973). Can. J. Zool. 51:547-551.,,,,unknown location,
47.229,-54.012,Point Verde P.,,40,,,,unk,C,lake,5,Garside & Hamor (1973). Can. J. Zool. 51:547-551.,,,,,
47.234,-53.611,North Harbour R.,,6,,,,unk,C,stream,5,Garside & Hamor (1973). Can. J. Zool. 51:547-551.,,,,,
46.121,-61.189,Lake Ainsley,,126,,,,unk,C,lake,5,Garside & Hamor (1973). Can. J. Zool. 51:547-551.,,,,,
43.99,-78.002,Shelter Valley S.,,41,,,,unk,C,stream,5,Garside & Hamor (1973). Can. J. Zool. 51:547-551.,,,,,
45.633,-61.96,Antigonish Landing,,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,
45.628,-61.958,Rights River,,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,
45.622,-61.963,Lower South River,,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,
45.676,-61.861,Captains Pond,,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,
45.654,-61.825,Monks Head,,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,
45.611,-61.813,Pomquet,,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,
45.603,-61.81,Pomquet Stream,,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,
45.887,-61.495,Judique,,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,
46.056,-61.428,Little Mabou R.,,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,
46.084,-61.468,Mabou River Estuary,,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,
46.403,-61.081,Margaree River 1,,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,
46.426,-61.098,Margaree River 2,,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,
46.899,-60.469,Dingwall,,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,
46.888,-60.465,Middle Aspy R.,,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,
46.66,-60.396,Ingonish 1,,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,
46.648,-60.398,Ingonish 2,,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,
46.639,-60.394,Ingonish 3,,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,
46.347,-60.521,Stony Beach,,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,
45.72,-60.256,Fourchu Harbour,,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,
45.615,-60.623,Grand River Estuary,,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,
45.583,-61.384,Pirate Harbour,,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,
45.536,-61.314,Middle Melford,,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,
45.444,-61.297,St. Francis Harbour,,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,
45.413,-61.506,Milford Haven R.,,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,
